Cost,Sim,Switch_State_Indx,Gen1_on,Gen2_on,Batt1_mode,Batt2_mode,Batt1_power_kW,Batt2_power_kW,Timestamp
0.7182729370721538,18921,21,1,0,0,0,0.0,0.0,2025-Jan-29-17:26:53.247042
1.1882472829393094,18922,5,1,0,1,-1,1.5000000000000002,0.0,2025-Jan-29-17:26:53.320499
1.5432479233002894,18923,4,1,1,0,1,0.0,0.9,2025-Jan-29-17:26:53.374258
1.160819734297283,18924,3,1,1,-1,-1,0.0,0.0,2025-Jan-29-17:26:53.602073
1.061899853745909,18925,7,1,0,1,1,0.7000000000000001,1.7000000000000002,2025-Jan-29-17:26:53.680609
1.1882472949645337,18926,7,1,0,0,0,0.0,0.0,2025-Jan-29-17:26:53.733957
1.1182058725487578,18927,12,1,0,1,1,0.6,0.4,2025-Jan-29-17:26:53.787077
1.0619117502099191,18928,8,1,0,0,1,0.0,1.0,2025-Jan-29-17:26:53.862344
1.3673095229028212,18929,11,1,1,1,0,1.5000000000000002,0.0,2025-Jan-29-17:26:53.939193
0.6322701164419364,18930,1,1,0,-1,1,0.0,0.5,2025-Jan-29-17:26:53.993983
1.5432479348432389,18931,14,1,1,0,0,0.0,0.0,2025-Jan-29-17:26:54.045790
0.7032548150014224,18932,0,1,0,0,1,0.0,0.4,2025-Jan-29-17:26:54.142037
1.5432479359430014,18933,5,1,1,-1,0,0.0,0.0,2025-Jan-29-17:26:54.232053
1.1882472985320298,18934,5,1,0,0,-1,0.0,0.0,2025-Jan-29-17:26:54.309112
1.0732735773183826,18935,19,1,1,0,0,0.0,0.0,2025-Jan-29-17:26:54.350961
1.4873792743852476,18936,22,1,1,1,-1,0.5,0.0,2025-Jan-29-17:26:54.403945
1.0732828037001547,18937,3,1,1,0,0,0.0,0.0,2025-Jan-29-17:26:54.447417
0.7182705063079972,18938,23,1,0,0,-1,0.0,0.0,2025-Jan-29-17:26:54.491772
