Cost,Sim,Switch_State_Indx,Gen1_on,Gen2_on,Batt1_mode,Batt2_mode,Batt1_power_kW,Batt2_power_kW,Timestamp
0.3270533186367969,959,8,1,1,1,-1,0.30000000000000004,0.0,2025-Jan-30-00:35:36.629347
0.3075,960,10,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:36.658842
0.8075,961,10,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:36.696865
0.30563431158527593,962,6,1,1,1,1,0.1,1.4000000000000001,2025-Jan-30-00:35:36.752141
0.3075000004025857,963,10,1,1,0,-1,0.0,0.0,2025-Jan-30-00:35:36.789032
0.3075,964,9,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:36.852411
0.3315977188746422,965,10,1,1,-1,1,0.0,1.4000000000000001,2025-Jan-30-00:35:36.968197
0.3473343134525186,966,3,1,0,-1,-1,0.0,0.0,2025-Jan-30-00:35:37.076185
0.3075,967,2,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:37.179227
0.8075,968,9,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:37.226915
0.3075,969,3,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:37.257557
0.3075,970,10,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:37.303319
0.3314648541227442,971,5,1,0,-1,-1,0.0,0.0,2025-Jan-30-00:35:37.338237
0.8235262704127173,972,0,1,0,-1,0,0.0,0.0,2025-Jan-30-00:35:37.369294
0.30750000019875046,973,5,1,1,-1,0,0.0,0.0,2025-Jan-30-00:35:37.417103
0.30749999819551094,974,6,1,0,0,1,0.0,1.9000000000000001,2025-Jan-30-00:35:37.468676
0.3074999982039815,975,7,1,0,0,1,0.0,0.9,2025-Jan-30-00:35:37.518606
0.2887872285975749,976,5,1,0,0,1,0.0,1.0,2025-Jan-30-00:35:37.561681
0.2812708185071593,977,5,1,1,0,1,0.0,1.4000000000000001,2025-Jan-30-00:35:37.605618
0.8075000056019397,978,9,1,0,-1,1,0.0,1.4000000000000001,2025-Jan-30-00:35:37.642840
0.3075,979,1,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:37.676711
0.3473343135368803,980,2,1,0,-1,-1,0.0,0.0,2025-Jan-30-00:35:37.707775
0.3075000004029371,981,7,1,0,0,-1,0.0,0.0,2025-Jan-30-00:35:37.743585
0.32569934302014175,982,2,1,1,-1,1,0.0,0.4,2025-Jan-30-00:35:37.773763
0.8075,983,0,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:37.805862
0.2888416619964484,984,6,1,0,1,0,1.0,0.0,2025-Jan-30-00:35:37.840385
0.8340384973953663,985,0,1,0,-1,-1,0.0,0.0,2025-Jan-30-00:35:37.903331
0.8234774038484891,986,0,1,1,0,-1,0.0,0.0,2025-Jan-30-00:35:38.000330
0.3018979434624297,987,4,1,0,0,1,0.0,0.30000000000000004,2025-Jan-30-00:35:38.093706
0.3075,988,4,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:38.169633
0.30750000019875046,989,5,1,1,-1,0,0.0,0.0,2025-Jan-30-00:35:38.202516
0.30563376928412894,990,5,1,1,0,1,0.0,0.1,2025-Jan-30-00:35:38.243092
0.8075,991,0,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:38.282540
0.3075,992,4,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:38.315641
0.29628579586754844,993,8,1,1,0,1,0.0,0.6,2025-Jan-30-00:35:38.341204
0.3075,994,6,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:38.382206
0.30749999821924767,995,5,1,0,1,0,0.5,0.0,2025-Jan-30-00:35:38.423585
0.3075,996,5,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:38.451065
0.2925735922811345,997,6,1,0,1,0,0.8,0.0,2025-Jan-30-00:35:38.546460
0.27951125324429954,998,1,1,0,1,0,1.5000000000000002,0.0,2025-Jan-30-00:35:38.587494
0.3075,999,2,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:38.625913
0.3075,1000,3,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:38.657126
0.29070764370226676,1001,6,1,1,1,0,0.9,0.0,2025-Jan-30-00:35:38.705198
0.31833837053600156,1002,3,1,0,-1,1,0.0,0.9,2025-Jan-30-00:35:38.749551
