Cost,Sim,Switch_State_Indx,Gen1_on,Gen2_on,Batt1_mode,Batt2_mode,Batt1_power_kW,Batt2_power_kW,Timestamp
0.3075,658,7,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:21.377807
0.3074999981363349,659,7,1,0,0,1,0.0,1.8000000000000003,2025-Jan-30-00:35:21.410021
0.307499998195511,660,5,1,0,1,0,1.9000000000000001,0.0,2025-Jan-30-00:35:21.441642
0.2812707030315172,661,5,1,0,1,1,1.3000000000000003,1.4000000000000001,2025-Jan-30-00:35:21.473558
0.3314648538907209,662,4,1,0,0,-1,0.0,0.0,2025-Jan-30-00:35:21.502254
0.30749999825289437,663,5,1,0,1,0,1.6,0.0,2025-Jan-30-00:35:21.533354
0.8075,664,10,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:21.563447
0.8075000032254488,665,10,1,0,0,-1,0.0,0.0,2025-Jan-30-00:35:21.594775
0.3314648538658561,666,4,1,1,0,-1,0.0,0.0,2025-Jan-30-00:35:21.620612
0.3075,667,5,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:21.648982
0.3473343135368803,668,2,1,0,-1,-1,0.0,0.0,2025-Jan-30-00:35:21.677288
0.27562152028409626,669,9,1,1,1,1,1.0,1.7000000000000002,2025-Jan-30-00:35:21.704061
0.3075,670,3,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:21.735786
0.8234774038484891,671,0,1,1,0,-1,0.0,0.0,2025-Jan-30-00:35:21.770074
0.2757788537160952,672,2,1,1,1,0,1.7000000000000002,0.0,2025-Jan-30-00:35:21.797030
0.3075,673,2,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:21.822478
0.31535051668474223,674,1,1,1,-1,1,0.0,1.1,2025-Jan-30-00:35:21.849834
0.27764522182450596,675,7,1,1,1,0,1.6,0.0,2025-Jan-30-00:35:21.875011
0.3075000004029371,676,6,1,0,0,-1,0.0,0.0,2025-Jan-30-00:35:21.947100
0.8075000034184046,677,10,1,0,1,-1,1.9000000000000001,0.0,2025-Jan-30-00:35:22.010742
0.33146485380488533,678,2,1,1,0,-1,0.0,0.0,2025-Jan-30-00:35:22.073970
0.28137740182032966,679,2,1,0,1,0,1.4000000000000001,0.0,2025-Jan-30-00:35:22.120571
0.3075000004029371,680,6,1,0,0,-1,0.0,0.0,2025-Jan-30-00:35:22.147008
0.3314648538658561,681,4,1,1,0,-1,0.0,0.0,2025-Jan-30-00:35:22.173713
0.3315683539704816,682,7,1,0,-1,0,0.0,0.0,2025-Jan-30-00:35:22.201436
0.29817124028543596,683,6,1,0,1,0,0.5,0.0,2025-Jan-30-00:35:22.229793
0.2718500093144505,684,5,1,1,0,1,0.0,1.9000000000000001,2025-Jan-30-00:35:22.256532
0.8075000053146324,685,9,1,0,-1,1,0.0,1.2000000000000002,2025-Jan-30-00:35:22.276946
0.3315683540070093,686,6,1,1,-1,0,0.0,0.0,2025-Jan-30-00:35:22.307804
0.30563376928412894,687,3,1,1,0,1,0.0,0.1,2025-Jan-30-00:35:22.323429
0.3075,688,2,1,0,0,0,0.0,0.0,2025-Jan-30-00:35:22.364939
0.8075,689,0,1,1,0,0,0.0,0.0,2025-Jan-30-00:35:22.386418
0.3315683539705685,690,2,1,0,-1,0,0.0,0.0,2025-Jan-30-00:35:22.417677
0.3074999982192476,691,7,1,0,0,1,0.0,0.5,2025-Jan-30-00:35:22.450144
0.301902842272929,692,10,1,1,1,-1,0.30000000000000004,0.0,2025-Jan-30-00:35:22.477392
0.7813774640757791,693,0,1,0,1,0,1.4000000000000001,0.0,2025-Jan-30-00:35:22.556334
0.8075000032254488,694,10,1,0,0,-1,0.0,0.0,2025-Jan-30-00:35:22.581672
0.3815,695,8,1,0,-1,0,0.0,0.0,2025-Jan-30-00:35:22.618813
0.30749999822520324,696,9,1,1,1,0,0.2,0.0,2025-Jan-30-00:35:22.644853
0.8075000053146324,697,9,1,0,-1,1,0.0,1.2000000000000002,2025-Jan-30-00:35:22.667590
0.33146485418391797,698,4,1,0,-1,-1,0.0,0.0,2025-Jan-30-00:35:22.708125
0.30376641680303307,699,1,1,1,0,1,0.0,0.2,2025-Jan-30-00:35:22.738082
0.8132045248631196,700,0,1,0,1,-1,0.7000000000000001,0.0,2025-Jan-30-00:35:22.766429
0.3074999982407993,701,10,1,1,0,1,0.0,0.4,2025-Jan-30-00:35:22.792460
