Cost,Sim,Switch_State_Indx,Gen1_on,Gen2_on,Batt1_mode,Batt2_mode,Batt1_power_kW,Batt2_power_kW,Timestamp
0.8075,0,9,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:34.878942
0.27562151983763084,1,4,1,0,1,1,0.7000000000000001,1.7000000000000002,2025-Jan-29-16:30:34.922180
0.3019028418647291,2,2,1,0,1,0,0.30000000000000004,0.0,2025-Jan-29-16:30:34.944496
0.3075,3,6,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:34.975627
0.8234774038650929,4,0,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:35.008360
0.7944395229681447,5,0,1,0,1,0,0.7000000000000001,0.0,2025-Jan-29-16:30:35.093989
0.33145002628430204,6,1,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:35.121931
0.32092568193121784,7,3,1,1,-1,0,0.0,0.0,2025-Jan-29-16:30:35.162944
0.3075,8,6,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:35.190739
0.8075,9,9,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:35.210236
0.3075,10,8,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:35.252314
0.3314500262594622,11,1,1,1,0,-1,0.0,0.0,2025-Jan-29-16:30:35.305316
0.3315683542634339,12,7,1,0,-1,-1,0.0,0.0,2025-Jan-29-16:30:35.370163
0.3075000004029373,13,5,1,0,-1,0,0.0,0.0,2025-Jan-29-16:30:35.448836
0.3314648537685767,14,3,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:35.497280
0.3075,15,4,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:35.529411
0.8234774038484891,16,0,1,1,0,-1,0.0,0.0,2025-Jan-29-16:30:35.570382
0.3075,17,3,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:35.594189
0.3209256819502317,18,7,1,1,-1,0,0.0,0.0,2025-Jan-29-16:30:35.624639
0.29630538872077616,19,7,1,0,1,1,0.6,0.7000000000000001,2025-Jan-29-16:30:35.656393
0.3075,20,7,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:35.672922
0.8074999995488348,21,9,1,0,1,0,0.30000000000000004,0.0,2025-Jan-29-16:30:35.719300
0.3075,22,5,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:35.747261
0.7581428571428572,23,8,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:35.784758
0.2906635535263831,24,8,1,1,0,1,0.0,0.9,2025-Jan-29-16:30:35.815118
0.3315683540320243,25,6,1,0,-1,0,0.0,0.0,2025-Jan-29-16:30:35.831607
0.27202928890312206,26,3,1,0,1,1,1.3000000000000003,0.6,2025-Jan-29-16:30:35.871016
0.7581428564104044,27,9,1,0,1,-1,0.5,0.0,2025-Jan-29-16:30:35.916846
0.7581428571428572,28,8,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:35.943378
0.7386428571428572,29,10,1,0,-1,0,0.0,0.0,2025-Jan-29-16:30:35.990883
0.3315683526629974,30,6,1,1,-1,1,0.0,1.6,2025-Jan-29-16:30:36.006905
0.8075,31,8,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:36.039583
0.3315683540320243,32,6,1,0,-1,0,0.0,0.0,2025-Jan-29-16:30:36.071183
0.2869097814793623,33,2,1,0,0,1,0.0,1.1,2025-Jan-29-16:30:36.101944
0.8019028444479646,34,0,1,1,1,0,0.30000000000000004,0.0,2025-Jan-29-16:30:36.143403
0.298157633572732,35,5,1,0,-1,1,0.0,0.5,2025-Jan-29-16:30:36.171497
0.2962858119010632,36,5,1,1,1,1,1.9000000000000001,0.6,2025-Jan-29-16:30:36.197475
0.8075,37,8,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:36.245107
0.8037685948614336,38,0,1,0,1,0,0.2,0.0,2025-Jan-29-16:30:36.327969
0.33145002628430204,39,1,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:36.392481
0.28884166178329485,40,8,1,1,1,0,1.0,0.0,2025-Jan-29-16:30:36.464544
0.3075000004029371,41,7,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:36.520631
0.3075000004029371,42,7,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:36.544511
