Cost,Sim,Switch_State_Indx,Gen1_on,Gen2_on,Batt1_mode,Batt2_mode,Batt1_power_kW,Batt2_power_kW,Timestamp
0.8075,602,0,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:55.866525
0.29253875613761743,603,3,1,0,0,1,0.0,0.8,2025-Jan-29-16:30:55.895214
0.3315683540320243,604,6,1,0,-1,0,0.0,0.0,2025-Jan-29-16:30:55.912271
0.2737364142890093,605,5,1,1,0,1,0.0,1.8000000000000003,2025-Jan-29-16:30:55.946097
0.3019028401172729,606,7,1,0,1,1,0.30000000000000004,0.4,2025-Jan-29-16:30:55.978170
0.2832435173245076,607,1,1,1,1,0,1.3000000000000003,0.0,2025-Jan-29-16:30:55.995514
0.3075,608,6,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:56.028576
0.3314576348988147,609,9,1,1,1,-1,1.4000000000000001,0.0,2025-Jan-29-16:30:56.062171
0.8075000032254488,610,10,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:56.079077
0.42357774808073373,611,8,1,0,-1,-1,0.0,0.0,2025-Jan-29-16:30:56.119838
0.3314648538658561,612,4,1,1,0,-1,0.0,0.0,2025-Jan-29-16:30:56.144979
0.3314576348968676,613,9,1,1,1,-1,1.5000000000000002,0.0,2025-Jan-29-16:30:56.161263
0.807500002504517,614,10,1,0,1,0,0.8,0.0,2025-Jan-29-16:30:56.195807
0.2906635534294301,615,5,1,0,0,1,0.0,0.9,2025-Jan-29-16:30:56.225088
0.8075,616,10,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:56.273876
0.3075000001982152,617,7,1,1,0,-1,0.0,0.0,2025-Jan-29-16:30:56.353294
0.2718500095770484,618,5,1,1,-1,1,0.0,1.9000000000000001,2025-Jan-29-16:30:56.417944
0.3315325030792979,619,1,1,1,-1,0,0.0,0.0,2025-Jan-29-16:30:56.480550
0.8000370621479009,620,0,1,0,1,0,0.4,0.0,2025-Jan-29-16:30:56.513005
0.2739126032129111,621,2,1,1,1,0,1.8000000000000003,0.0,2025-Jan-29-16:30:56.549287
0.29817125237870706,622,3,1,1,1,0,0.5,0.0,2025-Jan-29-16:30:56.575663
0.34729241379455333,623,1,1,1,-1,-1,0.0,0.0,2025-Jan-29-16:30:56.590776
0.27017339881108676,624,1,1,1,1,1,1.6,0.4,2025-Jan-29-16:30:56.622363
0.3314648538907209,625,4,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:56.655311
0.2739126032129111,626,2,1,1,1,0,1.8000000000000003,0.0,2025-Jan-29-16:30:56.671361
0.7888416933325644,627,0,1,0,1,0,1.0,0.0,2025-Jan-29-16:30:56.709924
0.8075,628,8,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:56.742615
0.3315977202323052,629,10,1,1,-1,0,0.0,0.0,2025-Jan-29-16:30:56.767486
0.3075,630,7,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:56.782743
0.2756215215445677,631,5,1,0,0,1,0.0,1.7000000000000002,2025-Jan-29-16:30:56.813001
0.8075,632,0,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:56.847327
0.3075,633,2,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:56.877235
0.8075,634,10,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:56.894471
0.8340384973953663,635,0,1,0,-1,-1,0.0,0.0,2025-Jan-29-16:30:56.925715
0.3075,636,4,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:56.956849
0.3075000004025857,637,10,1,1,0,-1,0.0,0.0,2025-Jan-29-16:30:56.989426
0.8075000032254886,638,9,1,0,-1,0,0.0,0.0,2025-Jan-29-16:30:57.010670
0.80749999944584,639,9,1,0,1,0,1.1,0.0,2025-Jan-29-16:30:57.046328
0.3056337672730759,640,5,1,0,1,1,1.8000000000000003,0.1,2025-Jan-29-16:30:57.126708
0.305634313531384,641,3,1,1,1,0,0.1,0.0,2025-Jan-29-16:30:57.149135
0.8161869315536343,642,0,1,1,-1,1,0.0,0.5,2025-Jan-29-16:30:57.182582
0.2832006034454978,643,8,1,1,1,1,0.4,0.9,2025-Jan-29-16:30:57.195911
0.7386428571428572,644,10,1,0,-1,0,0.0,0.0,2025-Jan-29-16:30:57.245467
0.3075,645,4,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:57.311003
0.3075,646,8,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:57.370720
0.3075,647,1,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:57.448658
0.3314500262594622,648,1,1,1,0,-1,0.0,0.0,2025-Jan-29-16:30:57.496896
0.3314648538297505,649,2,1,0,0,-1,0.0,0.0,2025-Jan-29-16:30:57.528753
0.3075,650,1,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:57.567333
0.3075,651,8,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:57.595666
0.27750570584255596,652,3,1,0,0,1,0.0,1.6,2025-Jan-29-16:30:57.623678
0.823526270396056,653,0,1,1,-1,0,0.0,0.0,2025-Jan-29-16:30:57.656580
0.3315325030792979,654,1,1,1,-1,0,0.0,0.0,2025-Jan-29-16:30:57.670350
0.34729241379455333,655,1,1,1,-1,-1,0.0,0.0,2025-Jan-29-16:30:57.712430
0.3075,656,1,1,1,0,0,0.0,0.0,2025-Jan-29-16:30:57.741166
0.3075,657,1,1,0,0,0,0.0,0.0,2025-Jan-29-16:30:57.765945
0.30376641680104405,602,5,1,0,0,1,0.0,0.2,2025-Jan-29-16:33:29.490896
0.31824789081376187,603,2,1,1,1,-1,0.9,0.0,2025-Jan-29-16:33:29.554885
0.3075,604,6,1,0,0,0,0.0,0.0,2025-Jan-29-16:33:29.603763
0.32705974474796834,605,2,1,1,1,-1,0.30000000000000004,0.0,2025-Jan-29-16:33:29.633157
0.32705974470985993,606,3,1,0,1,-1,0.30000000000000004,0.0,2025-Jan-29-16:33:29.664841
0.33145763625912295,607,9,1,1,0,-1,0.0,0.0,2025-Jan-29-16:33:29.692197
0.3075,608,5,1,0,0,0,0.0,0.0,2025-Jan-29-16:33:29.713672
0.7984604871609118,609,0,1,1,-1,1,0.0,1.7000000000000002,2025-Jan-29-16:33:29.745719
0.3075,610,4,1,1,0,0,0.0,0.0,2025-Jan-29-16:33:29.781655
0.28137740182032916,611,6,1,1,1,0,1.4000000000000001,0.0,2025-Jan-29-16:33:29.808887
0.3108878423966989,612,1,1,0,1,-1,1.4000000000000001,0.0,2025-Jan-29-16:33:29.835462
0.3314500262594622,613,1,1,1,0,-1,0.0,0.0,2025-Jan-29-16:33:29.857247
0.8075000004054993,614,8,1,0,0,1,0.0,1.9000000000000001,2025-Jan-29-16:33:29.888903
0.8235262704127173,615,0,1,0,-1,0,0.0,0.0,2025-Jan-29-16:33:29.919721
0.2944128369379012,616,8,1,1,0,1,0.0,0.7000000000000001,2025-Jan-29-16:33:29.952420
0.3314648525031504,617,4,1,1,1,-1,0.9,0.0,2025-Jan-29-16:33:29.984194
0.3075000004029373,618,5,1,0,-1,0,0.0,0.0,2025-Jan-29-16:33:30.014197
0.32086204243412975,619,5,1,1,0,-1,0.0,0.0,2025-Jan-29-16:33:30.042923
0.3080120419107212,620,8,1,1,-1,1,0.0,1.6,2025-Jan-29-16:33:30.061291
